STC AREEJA 3DS MAX â€” COMPLETE ASSET INVENTORY
Generated: 2026-08-09 21:05:31
Source: C:\Users\PC\Desktop\NEW STC AREEJA-3DMAX

PATH | TYPE | SIZE | EXTENSION | CREATED | MODIFIED
MATERIALS\_Metal_A.jpg | FILE | 2,508 bytes / 0.00 MB | .jpg | 2026-08-06 15:09:00 | 2026-08-06 15:09:00
MATERIALS\0514e093.jpg | FILE | 18,995 bytes / 0.02 MB | .jpg | 2026-08-06 15:09:43 | 2026-08-06 15:09:43
MATERIALS\0514e093_sRGB_ACEScg.jpg.tx | FILE | 149,193 bytes / 0.14 MB | .tx | 2026-08-06 15:48:51 | 2026-08-06 15:09:43
MATERIALS\737_over.jpg | FILE | 631 bytes / 0.00 MB | .jpg | 2026-08-06 15:09:07 | 2026-08-06 15:09:07
MATERIALS\737_over_sRGB_ACEScg.jpg.tx | FILE | 1,675 bytes / 0.00 MB | .tx | 2026-08-06 15:48:53 | 2026-08-06 15:09:07
MATERIALS\7c956e2a.jpg | FILE | 18,465 bytes / 0.02 MB | .jpg | 2026-08-06 15:09:44 | 2026-08-06 15:09:44
MATERIALS\7c956e2a_sRGB_ACEScg.jpg.tx | FILE | 143,261 bytes / 0.14 MB | .tx | 2026-08-06 15:48:55 | 2026-08-06 15:09:44
MATERIALS\Asphalt_.jpg | FILE | 447,328 bytes / 0.43 MB | .jpg | 2026-08-06 15:07:34 | 2026-08-06 15:07:34
MATERIALS\Asphalt__sRGB_ACEScg.jpg.tx | FILE | 1,686,220 bytes / 1.61 MB | .tx | 2026-08-06 15:48:52 | 2026-08-06 15:07:34
MATERIALS\Concrete.jpg | FILE | 326,369 bytes / 0.31 MB | .jpg | 2026-08-06 15:16:56 | 2026-08-06 15:16:56
MATERIALS\Concrete_sRGB_ACEScg.jpg.tx | FILE | 1,343,935 bytes / 1.28 MB | .tx | 2026-08-06 15:48:48 | 2026-08-06 15:16:56
MATERIALS\corona | DIR | - | - | 2026-08-06 09:47:11 | 2026-08-06 11:33:35
MATERIALS\corona - Copy | DIR | - | - | 2026-08-06 16:03:01 | 2026-08-06 16:03:11
MATERIALS\corona - Copy\3D-KID BEDROOM-MANALE.rar | FILE | 817,304,721 bytes / 779.44 MB | .rar | 2026-08-06 16:03:01 | 2026-08-06 10:01:12
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64 | DIR | - | - | 2026-08-06 16:03:07 | 2026-08-06 16:03:07
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64.part1.rar | FILE | 1,663,041,536 bytes / 1,586.00 MB | .rar | 2026-08-06 16:03:01 | 2026-08-06 10:37:35
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64.part2.rar | FILE | 1,663,041,536 bytes / 1,586.00 MB | .rar | 2026-08-06 16:03:01 | 2026-08-06 10:30:21
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64.part3.rar | FILE | 1,499,210,162 bytes / 1,429.76 MB | .rar | 2026-08-06 16:03:02 | 2026-08-06 10:36:41
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3D.Max.2024.2.1.x64 | DIR | - | - | 2026-08-06 16:03:07 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3ds.Max.2024.2.1.Multilingual.iso | FILE | 4,997,664,768 bytes / 4,766.14 MB | .iso | 2026-08-06 16:03:07 | 2024-02-02 10:28:15
MATERIALS\corona - Copy\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3D.Max.2024.2.1.x64\Soft98.iR.url | FILE | 202 bytes / 0.00 MB | .url | 2026-08-06 16:03:10 | 2013-03-11 14:02:51
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max.rar | FILE | 1,068,516,637 bytes / 1,019.02 MB | .rar | 2026-08-06 16:03:03 | 2026-08-06 10:36:09
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\chaos-corona-14-update-1-3dsmax-hotfix1.exe | FILE | 1,098,441,472 bytes / 1,047.56 MB | .exe | 2026-08-06 16:03:10 | 2026-02-23 21:04:11
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Crack | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Crack\LegionLib_Release.dll | FILE | 5,573,632 bytes / 5.32 MB | .dll | 2026-08-06 16:03:10 | 2026-02-16 00:00:00
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\ReadMe (How to Install).txt | FILE | 2,421 bytes / 0.00 MB | .txt | 2026-08-06 16:03:10 | 2026-02-23 21:06:14
MATERIALS\corona - Copy\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Soft98.iR.url | FILE | 202 bytes / 0.00 MB | .url | 2026-08-06 16:03:10 | 2013-03-12 00:32:51
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max.rar | FILE | 1,078,625,147 bytes / 1,028.66 MB | .rar | 2026-08-06 16:03:03 | 2026-08-06 10:30:45
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\chaos-corona-15-3dsmax-hotfix2.exe | FILE | 1,142,972,712 bytes / 1,090.02 MB | .exe | 2026-08-06 16:03:10 | 2026-07-31 21:22:49
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Crack | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:10
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Crack\LegionLib_Release.dll | FILE | 6,049,280 bytes / 5.77 MB | .dll | 2026-08-06 16:03:10 | 2026-07-31 00:00:00
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\ReadMe (How to Install).txt | FILE | 2,365 bytes / 0.00 MB | .txt | 2026-08-06 16:03:10 | 2026-07-31 21:24:05
MATERIALS\corona - Copy\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Soft98.iR.url | FILE | 202 bytes / 0.00 MB | .url | 2026-08-06 16:03:10 | 2026-05-26 13:13:36
MATERIALS\corona - Copy\Chaos.Corona.Material.Library.part1.rar | FILE | 2,147,483,648 bytes / 2,048.00 MB | .rar | 2026-08-06 16:03:04 | 2026-08-06 10:36:15
MATERIALS\corona - Copy\Chaos.Corona.Material.Library.part2.rar | FILE | 2,147,483,648 bytes / 2,048.00 MB | .rar | 2026-08-06 16:03:05 | 2026-08-06 10:28:13
MATERIALS\corona - Copy\Chaos.Corona.Material.Library.part3.rar | FILE | 1,551,277,316 bytes / 1,479.41 MB | .rar | 2026-08-06 16:03:06 | 2026-08-06 10:27:54
MATERIALS\corona - Copy\Corona Renderer 15 for 3DS MAX 2018-2027 | DIR | - | - | 2026-08-06 16:03:10 | 2026-08-06 16:03:11
MATERIALS\corona - Copy\Corona Renderer 15 for 3DS MAX 2018-2027\chaos-corona-15-3dsmax.exe | FILE | 1,141,618,752 bytes / 1,088.73 MB | .exe | 2026-08-06 16:03:10 | 2026-06-08 22:45:29
MATERIALS\corona - Copy\Corona Renderer 15 for 3DS MAX 2018-2027\demo_patch.gif.mp4 | FILE | 9,980 bytes / 0.01 MB | .mp4 | 2026-08-06 16:03:11 | 2026-06-09 09:49:32
MATERIALS\corona - Copy\Corona Renderer 15 for 3DS MAX 2018-2027\Patch | DIR | - | - | 2026-08-06 16:03:11 | 2026-08-06 16:03:11
MATERIALS\corona - Copy\Corona Renderer 15 for 3DS MAX 2018-2027\Patch\Patch_CR.15.exe | FILE | 65,793,024 bytes / 62.75 MB | .exe | 2026-08-06 16:03:11 | 2026-06-09 09:31:51
MATERIALS\corona - Copy\Corona Renderer 15 for 3DS MAX 2018-2027\Readme.txt | FILE | 1,054 bytes / 0.00 MB | .txt | 2026-08-06 16:03:11 | 2026-06-10 12:38:44
MATERIALS\corona - Copy\Corona Renderer 15 for 3DS MAX 2018-2027\SAWERIA Traktir Mimin KOPI (DISINI).url | FILE | 116 bytes / 0.00 MB | .url | 2026-08-06 16:03:11 | 2025-06-17 07:37:55
MATERIALS\corona - Copy\Corona Renderer 15 for 3DS MAX 2018-2027\Yasir252.Com.url | FILE | 211 bytes / 0.00 MB | .url | 2026-08-06 16:03:11 | 2025-07-30 12:45:49
MATERIALS\corona - Copy\Corona-15-3ds-max | DIR | - | - | 2026-08-06 16:03:11 | 2026-08-06 16:03:11
MATERIALS\corona - Copy\Corona-15-3ds-max.rar | FILE | 1,148,966,578 bytes / 1,095.74 MB | .rar | 2026-08-06 16:03:06 | 2026-08-06 09:38:57
MATERIALS\corona - Copy\Corona-15-3ds-max\chaos-corona-15-3dsmax-hotfix1.exe | FILE | 1,142,914,976 bytes / 1,089.97 MB | .exe | 2026-08-06 16:03:11 | 2026-07-03 00:08:03
MATERIALS\corona - Copy\Corona-15-3ds-max\Crack | DIR | - | - | 2026-08-06 16:03:11 | 2026-08-06 16:03:11
MATERIALS\corona - Copy\Corona-15-3ds-max\Crack\_ReadMe.txt | FILE | 1,539 bytes / 0.00 MB | .txt | 2026-08-06 16:03:11 | 2026-07-03 00:10:52
MATERIALS\corona - Copy\Corona-15-3ds-max\Crack\3dmaxfarsi.url | FILE | 113 bytes / 0.00 MB | .url | 2026-08-06 16:03:11 | 2026-07-02 19:51:17
MATERIALS\corona - Copy\Corona-15-3ds-max\Crack\LegionLib_Release.dll | FILE | 6,049,280 bytes / 5.77 MB | .dll | 2026-08-06 16:03:11 | 2026-06-26 00:00:00
MATERIALS\corona - Copy\CRN15-3ds-yasir252.rar | FILE | 1,059,106,110 bytes / 1,010.04 MB | .rar | 2026-08-06 16:03:06 | 2026-08-06 09:38:17
MATERIALS\corona\3D-KID BEDROOM-MANALE.rar | FILE | 817,304,721 bytes / 779.44 MB | .rar | 2026-08-06 09:59:57 | 2026-08-06 10:01:12
MATERIALS\corona\Autodesk.3D.Max.2024.2.1.x64 | DIR | - | - | 2026-08-06 11:01:32 | 2026-08-06 11:01:32
MATERIALS\corona\Autodesk.3D.Max.2024.2.1.x64.part1.rar | FILE | 1,663,041,536 bytes / 1,586.00 MB | .rar | 2026-08-06 10:59:07 | 2026-08-06 10:37:35
MATERIALS\corona\Autodesk.3D.Max.2024.2.1.x64.part2.rar | FILE | 1,663,041,536 bytes / 1,586.00 MB | .rar | 2026-08-06 10:59:29 | 2026-08-06 10:30:21
MATERIALS\corona\Autodesk.3D.Max.2024.2.1.x64.part3.rar | FILE | 1,499,210,162 bytes / 1,429.76 MB | .rar | 2026-08-06 10:59:53 | 2026-08-06 10:36:41
MATERIALS\corona\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3D.Max.2024.2.1.x64 | DIR | - | - | 2026-08-06 11:01:32 | 2024-02-02 10:30:09
MATERIALS\corona\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3ds.Max.2024.2.1.Multilingual.iso | FILE | 4,997,664,768 bytes / 4,766.14 MB | .iso | 2026-08-06 11:01:32 | 2024-02-02 10:28:15
MATERIALS\corona\Autodesk.3D.Max.2024.2.1.x64\Autodesk.3D.Max.2024.2.1.x64\Soft98.iR.url | FILE | 202 bytes / 0.00 MB | .url | 2026-08-06 11:01:49 | 2013-03-11 14:02:51
MATERIALS\corona\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max | DIR | - | - | 2026-08-06 11:33:35 | 2026-08-06 11:33:35
MATERIALS\corona\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max.rar | FILE | 1,068,516,637 bytes / 1,019.02 MB | .rar | 2026-08-06 11:32:57 | 2026-08-06 10:36:09
MATERIALS\corona\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max | DIR | - | - | 2026-08-06 11:33:35 | 2026-02-23 21:05:46
MATERIALS\corona\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\chaos-corona-14-update-1-3dsmax-hotfix1.exe | FILE | 1,098,441,472 bytes / 1,047.56 MB | .exe | 2026-08-06 11:33:35 | 2026-02-23 21:04:11
MATERIALS\corona\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Crack | DIR | - | - | 2026-08-06 11:33:38 | 2026-02-23 21:05:44
MATERIALS\corona\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Crack\LegionLib_Release.dll | FILE | 5,573,632 bytes / 5.32 MB | .dll | 2026-08-06 11:33:38 | 2026-02-16 00:00:00
MATERIALS\corona\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\ReadMe (How to Install).txt | FILE | 2,421 bytes / 0.00 MB | .txt | 2026-08-06 11:33:35 | 2026-02-23 21:06:14
MATERIALS\corona\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Chaos.Corona.14.0.0.Update.1.hotfix1.for.3ds.Max\Soft98.iR.url | FILE | 202 bytes / 0.00 MB | .url | 2026-08-06 11:33:38 | 2013-03-12 00:32:51
MATERIALS\corona\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max | DIR | - | - | 2026-08-06 10:45:25 | 2026-08-06 10:45:25
MATERIALS\corona\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max.rar | FILE | 1,078,625,147 bytes / 1,028.66 MB | .rar | 2026-08-06 10:44:41 | 2026-08-06 10:30:45
MATERIALS\corona\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max | DIR | - | - | 2026-08-06 10:45:25 | 2026-07-31 21:23:44
MATERIALS\corona\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\chaos-corona-15-3dsmax-hotfix2.exe | FILE | 1,142,972,712 bytes / 1,090.02 MB | .exe | 2026-08-06 10:45:25 | 2026-07-31 21:22:49
MATERIALS\corona\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Crack | DIR | - | - | 2026-08-06 10:45:28 | 2026-07-31 21:23:40
MATERIALS\corona\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Crack\LegionLib_Release.dll | FILE | 6,049,280 bytes / 5.77 MB | .dll | 2026-08-06 10:45:28 | 2026-07-31 00:00:00
MATERIALS\corona\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\ReadMe (How to Install).txt | FILE | 2,365 bytes / 0.00 MB | .txt | 2026-08-06 10:45:25 | 2026-07-31 21:24:05
MATERIALS\corona\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Chaos.Corona.15.0.Hotfix.2.for.3ds.Max\Soft98.iR.url | FILE | 202 bytes / 0.00 MB | .url | 2026-08-06 10:45:28 | 2026-05-26 13:13:36
MATERIALS\corona\Chaos.Corona.Material.Library.part1.rar | FILE | 2,147,483,648 bytes / 2,048.00 MB | .rar | 2026-08-06 10:55:46 | 2026-08-06 10:36:15
MATERIALS\corona\Chaos.Corona.Material.Library.part2.rar | FILE | 2,147,483,648 bytes / 2,048.00 MB | .rar | 2026-08-06 10:55:19 | 2026-08-06 10:28:13
MATERIALS\corona\Chaos.Corona.Material.Library.part3.rar | FILE | 1,551,277,316 bytes / 1,479.41 MB | .rar | 2026-08-06 11:00:19 | 2026-08-06 10:27:54
MATERIALS\corona\Corona Renderer 15 for 3DS MAX 2018-2027 | DIR | - | - | 2026-08-06 09:47:54 | 2026-06-10 12:39:01
MATERIALS\corona\Corona Renderer 15 for 3DS MAX 2018-2027\chaos-corona-15-3dsmax.exe | FILE | 1,141,618,752 bytes / 1,088.73 MB | .exe | 2026-08-06 09:47:54 | 2026-06-08 22:45:29
MATERIALS\corona\Corona Renderer 15 for 3DS MAX 2018-2027\demo_patch.gif.mp4 | FILE | 9,980 bytes / 0.01 MB | .mp4 | 2026-08-06 09:47:57 | 2026-06-09 09:49:32
MATERIALS\corona\Corona Renderer 15 for 3DS MAX 2018-2027\Patch | DIR | - | - | 2026-08-06 09:47:57 | 2026-06-10 12:39:05
MATERIALS\corona\Corona Renderer 15 for 3DS MAX 2018-2027\Patch\Patch_CR.15.exe | FILE | 65,793,024 bytes / 62.75 MB | .exe | 2026-08-06 09:47:57 | 2026-06-09 09:31:51
MATERIALS\corona\Corona Renderer 15 for 3DS MAX 2018-2027\Readme.txt | FILE | 1,054 bytes / 0.00 MB | .txt | 2026-08-06 09:47:57 | 2026-06-10 12:38:44
MATERIALS\corona\Corona Renderer 15 for 3DS MAX 2018-2027\SAWERIA Traktir Mimin KOPI (DISINI).url | FILE | 116 bytes / 0.00 MB | .url | 2026-08-06 09:47:57 | 2025-06-17 07:37:55
MATERIALS\corona\Corona Renderer 15 for 3DS MAX 2018-2027\Yasir252.Com.url | FILE | 211 bytes / 0.00 MB | .url | 2026-08-06 09:47:57 | 2025-07-30 12:45:49
MATERIALS\corona\Corona-15-3ds-max | DIR | - | - | 2026-08-06 09:52:47 | 2026-07-03 00:10:08
MATERIALS\corona\Corona-15-3ds-max.rar | FILE | 1,148,966,578 bytes / 1,095.74 MB | .rar | 2026-08-06 09:52:24 | 2026-08-06 09:38:57
MATERIALS\corona\Corona-15-3ds-max\chaos-corona-15-3dsmax-hotfix1.exe | FILE | 1,142,914,976 bytes / 1,089.97 MB | .exe | 2026-08-06 09:52:47 | 2026-07-03 00:08:03
MATERIALS\corona\Corona-15-3ds-max\Crack | DIR | - | - | 2026-08-06 09:52:47 | 2026-07-03 00:11:12
